YAL055W	37/IWK3	-0.093667	-0.252901	0.104015	-0.268733	0.083769	-0.083098	-0.242586	-0.023288	-0.042159	-0.079218	-0.221393	0.079145	-0.291250	0.173263	-0.005248	-0.277904	0.086212	-0.222715	0.019072
YAL067C	80/CQW2	-0.035691	-0.364380	0.056602	-0.121965	9.658438	8.896603	-0.354277	-0.066336	0.062466	-0.077612	-0.370137	0.034160	-0.138416	0.052031	0.080976	-0.343862	0.027741	-0.060480	0.048929
YBL078C	73/FYL4	-0.026223	-0.357719	0.148037	0.001179	0.014042	-0.143636	-0.344829	0.161709	0.062933	-0.103488	-0.361655	0.052374	0.108237	-0.050239	-0.133295	-0.356284	0.069014	-0.055795	0.084631
YBL084C	08/XSQ4	-0.133723	-0.388988	0.345224	-0.151771	0.033169	-0.156677	-0.391304	0.146823	0.145250	-0.140075	-0.386037	0.501812	-0.217310	-0.054275	-0.135235	-0.391957	0.147817	-0.150459	0.119207
YBR148W	01/VYG8	-0.013276	-0.247798	-0.177356	-0.295927	0.156929	-0.127366	-0.224303	-0.229709	-0.008605	-0.069943	-0.214903	-0.213462	-0.265302	0.129340	-0.113057	-0.245352	-0.268702	-0.314086	-0.102900
YBR233W	80/IWQ5	0.188673	-0.335254	0.338691	-0.299501	-0.022541	0.111036	-0.316767	0.503911	-0.026899	0.096185	-0.342396	0.562112	-0.283112	-0.064941	0.118573	-0.317950	0.402614	-0.287323	-0.051192
YDL154W	12/PUN5	-0.015069	-0.284404	0.358584	-0.279350	-0.118121	0.041777	-0.256553	0.247501	-0.037543	0.050860	-0.287042	0.290551	-0.296524	-0.080601	0.100765	-0.277539	0.228490	-0.269536	-0.043704
YDL155W	17/WEI5	0.296101	-0.389719	0.561762	-0.376603	0.003021	0.072399	-0.389265	0.291083	-0.096393	0.258177	-0.391887	0.384287	-0.372456	0.115770	0.117916	-0.387153	0.401360	-0.368429	-0.124770
YDR104C	17/HHF3	0.211270	-0.144662	0.341207	-0.392897	-0.076782	0.181075	-0.103769	0.094821	-0.034184	0.318132	-0.227348	0.267303	-0.394904	-0.148635	0.046294	-0.014257	0.032080	-0.393134	-0.066094
YDR113C	16/XAI4	0.430769	-0.123590	0.510447	-0.355359	-0.061703	0.664267	-0.052489	0.421089	-0.125921	0.549273	-0.091442	0.397065	-0.364926	-0.011280	0.778329	-0.044735	0.212684	-0.358399	-0.163470
